branch_id	parent_node	child_node	child_descendant_taxa	branch_length	parent_most_likely_host	child_most_likely_host	parent_host_set	child_host_set	overlapping_hosts	changed	transition	certainty_class	parent_confidence	child_confidence	transition_allowed
bat_chile_rv108	bat_chile_rv108|bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv108	bat_chile_rv108	0.0	bat	bat	bat	bat	bat	false		no_switch	1.0	1.0	true
bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv108|bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50,cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,dog_pakistan_pdb011,raccoon_dog_poland_2021,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	0.0550352189	bat	bat	bat	bat	bat	false		no_switch	1.0	0.99998081915636	true
bat_chile_rv50	bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50	bat_chile_rv50	0.035975039	bat	bat	bat	bat	bat	false		no_switch	0.99998081915636	1.0	true
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,dog_pakistan_pdb011,raccoon_dog_poland_2021,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	0.1360134198	bat	canid	bat	bat,canid,livestock	bat	true	bat->canid	uncertain_switch	0.99998081915636	0.728338389099277	true
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,raccoon_dog_poland_2021,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	0.0631040468	canid	canid	bat,canid,livestock	canid,livestock	canid,livestock	false		no_switch	0.728338389099277	0.796683651058559	true
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025,raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	0.0226466991	canid	canid	canid,livestock	canid,livestock	canid,livestock	false		no_switch	0.796683651058559	0.78248249981719	true
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	cattle_russia_4092_13_2025,cattle_russia_4092_15_2025	0.0170069874	canid	livestock	canid,livestock	livestock	livestock	true	canid->livestock	uncertain_switch	0.78248249981719	0.999996865298913	true
cattle_russia_4092_13_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	cattle_russia_4092_13_2025	cattle_russia_4092_13_2025	0.0014887146	livestock	livestock	livestock	livestock	livestock	false		no_switch	0.999996865298913	1.0	true
cattle_russia_4092_15_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	cattle_russia_4092_15_2025	cattle_russia_4092_15_2025	1e-06	livestock	livestock	livestock	livestock	livestock	false		no_switch	0.999996865298913	1.0	true
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_18_2025,red_fox_russia_4092_20_2025	0.0078975386	canid	canid	canid,livestock	canid	canid	false		no_switch	0.78248249981719	0.948757418666213	true
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025,red_fox_russia_4092_20_2025	0.0024457758	canid	canid	canid	canid	canid	false		no_switch	0.948757418666213	0.962240587675856	true
raccoon_dog_russia_4092_26_2025	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025	raccoon_dog_russia_4092_26_2025	0.0084729847	canid	canid	canid	canid	canid	false		no_switch	0.962240587675856	1.0	true
red_fox_russia_4092_20_2025	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	red_fox_russia_4092_20_2025	red_fox_russia_4092_20_2025	0.0035047161	canid	canid	canid	canid	canid	false		no_switch	0.962240587675856	1.0	true
red_fox_russia_4092_18_2025	raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	red_fox_russia_4092_18_2025	red_fox_russia_4092_18_2025	0.0079272599	canid	canid	canid	canid	canid	false		no_switch	0.948757418666213	1.0	true
raccoon_dog_poland_2021	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	raccoon_dog_poland_2021	raccoon_dog_poland_2021	0.0320517235	canid	canid	canid,livestock	canid	canid	false		no_switch	0.796683651058559	1.0	true
dog_pakistan_pdb011	cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	dog_pakistan_pdb011	dog_pakistan_pdb011	0.0944972697	canid	canid	bat,canid,livestock	canid	canid	false		no_switch	0.728338389099277	1.0	true
